OrderID,ItemsList
ORD_0001,"ITEM_013, ITEM_009, ITEM_011, ITEM_002, ITEM_019, ITEM_017"
ORD_0002,"ITEM_015, ITEM_005, ITEM_004, ITEM_017"
ORD_0003,"ITEM_016, ITEM_072, ITEM_019, ITEM_001, ITEM_015"
ORD_0004,"ITEM_012, ITEM_071, ITEM_021"
ORD_0005,"ITEM_020, ITEM_012, ITEM_016, ITEM_072"
ORD_0006,"ITEM_016, ITEM_030, ITEM_042, ITEM_074, ITEM_018, ITEM_019, ITEM_033"
ORD_0007,ITEM_018
ORD_0008,"ITEM_003, ITEM_020, ITEM_016, ITEM_013"
ORD_0009,"ITEM_070, ITEM_099"
ORD_0010,"ITEM_028, ITEM_002, ITEM_010, ITEM_012, ITEM_100, ITEM_019, ITEM_040, ITEM_004"
ORD_0011,"ITEM_009, ITEM_018, ITEM_043, ITEM_004"
ORD_0012,"ITEM_020, ITEM_016, ITEM_003, ITEM_014, ITEM_007, ITEM_005, ITEM_018"
ORD_0013,"ITEM_095, ITEM_003, ITEM_012, ITEM_007, ITEM_005, ITEM_015"
ORD_0014,ITEM_095
ORD_0015,ITEM_010
ORD_0016,"ITEM_009, ITEM_006"
ORD_0017,"ITEM_003, ITEM_008"
ORD_0018,"ITEM_016, ITEM_014, ITEM_019, ITEM_005, ITEM_018, ITEM_027, ITEM_004"
ORD_0019,"ITEM_018, ITEM_014, ITEM_048"
ORD_0020,"ITEM_022, ITEM_089, ITEM_016, ITEM_010, ITEM_003, ITEM_014, ITEM_006, ITEM_005"
ORD_0021,"ITEM_019, ITEM_074, ITEM_005, ITEM_015"
ORD_0022,"ITEM_018, ITEM_019, ITEM_015"
ORD_0023,"ITEM_014, ITEM_020, ITEM_004, ITEM_002"
ORD_0024,"ITEM_098, ITEM_020, ITEM_008, ITEM_010, ITEM_005, ITEM_065, ITEM_019"
ORD_0025,"ITEM_009, ITEM_039, ITEM_011"
ORD_0026,"ITEM_008, ITEM_020, ITEM_016, ITEM_036, ITEM_007, ITEM_019"
ORD_0027,"ITEM_020, ITEM_003, ITEM_079, ITEM_018, ITEM_023, ITEM_001"
ORD_0028,"ITEM_025, ITEM_045, ITEM_058, ITEM_007, ITEM_068, ITEM_052"
ORD_0029,ITEM_013
ORD_0030,"ITEM_009, ITEM_019"
ORD_0031,"ITEM_010, ITEM_019, ITEM_018, ITEM_003"
ORD_0032,"ITEM_020, ITEM_009, ITEM_007, ITEM_069, ITEM_018, ITEM_019, ITEM_017, ITEM_015"
ORD_0033,"ITEM_013, ITEM_020, ITEM_009, ITEM_014, ITEM_006, ITEM_015"
ORD_0034,"ITEM_013, ITEM_020, ITEM_003, ITEM_030, ITEM_011, ITEM_018, ITEM_017, ITEM_015"
ORD_0035,"ITEM_008, ITEM_010, ITEM_003, ITEM_009, ITEM_018, ITEM_004"
ORD_0036,"ITEM_010, ITEM_012, ITEM_018, ITEM_040, ITEM_004, ITEM_015"
ORD_0037,"ITEM_008, ITEM_086, ITEM_020, ITEM_016, ITEM_010, ITEM_011, ITEM_077, ITEM_091"
ORD_0038,ITEM_019
ORD_0039,"ITEM_020, ITEM_009, ITEM_006, ITEM_012, ITEM_058, ITEM_064, ITEM_081, ITEM_001"
ORD_0040,"ITEM_078, ITEM_083, ITEM_011, ITEM_014, ITEM_002, ITEM_001"
ORD_0041,"ITEM_010, ITEM_013, ITEM_100, ITEM_031"
ORD_0042,"ITEM_020, ITEM_003, ITEM_006, ITEM_041, ITEM_015"
ORD_0043,"ITEM_006, ITEM_015"
ORD_0044,"ITEM_009, ITEM_029, ITEM_038, ITEM_011, ITEM_002, ITEM_019, ITEM_071, ITEM_004"
ORD_0045,"ITEM_008, ITEM_092, ITEM_011, ITEM_006, ITEM_018"
ORD_0046,"ITEM_022, ITEM_014"
ORD_0047,"ITEM_044, ITEM_010, ITEM_001, ITEM_048, ITEM_011, ITEM_057, ITEM_004, ITEM_015"
ORD_0048,ITEM_007
ORD_0049,"ITEM_027, ITEM_008"
ORD_0050,"ITEM_018, ITEM_085"
ORD_0051,ITEM_018
ORD_0052,"ITEM_006, ITEM_013, ITEM_001"
ORD_0053,"ITEM_008, ITEM_080, ITEM_015"
ORD_0054,"ITEM_008, ITEM_016, ITEM_056, ITEM_006, ITEM_012, ITEM_061"
ORD_0055,ITEM_006
ORD_0056,"ITEM_010, ITEM_001, ITEM_079"
ORD_0057,"ITEM_003, ITEM_008"
ORD_0058,"ITEM_018, ITEM_012, ITEM_007, ITEM_015"
ORD_0059,"ITEM_016, ITEM_010, ITEM_014, ITEM_012, ITEM_065, ITEM_015"
ORD_0060,"ITEM_063, ITEM_006"
ORD_0061,"ITEM_013, ITEM_020, ITEM_017"
ORD_0062,"ITEM_010, ITEM_003, ITEM_085, ITEM_018, ITEM_004, ITEM_017"
ORD_0063,"ITEM_020, ITEM_016, ITEM_035, ITEM_064, ITEM_002, ITEM_019, ITEM_001, ITEM_015"
ORD_0064,"ITEM_013, ITEM_016, ITEM_003, ITEM_011, ITEM_085, ITEM_014, ITEM_007, ITEM_005"
ORD_0065,"ITEM_008, ITEM_099, ITEM_010, ITEM_006, ITEM_070, ITEM_007, ITEM_005"
ORD_0066,ITEM_009
ORD_0067,"ITEM_006, ITEM_020"
ORD_0068,"ITEM_008, ITEM_013, ITEM_030, ITEM_014, ITEM_061"
ORD_0069,"ITEM_007, ITEM_089, ITEM_002"
ORD_0070,"ITEM_016, ITEM_010, ITEM_015, ITEM_006, ITEM_035, ITEM_005, ITEM_017"
ORD_0071,"ITEM_020, ITEM_015"
ORD_0072,"ITEM_047, ITEM_083, ITEM_003, ITEM_075, ITEM_014, ITEM_007, ITEM_005, ITEM_057"
ORD_0073,"ITEM_013, ITEM_003, ITEM_051, ITEM_012, ITEM_005, ITEM_018, ITEM_004"
ORD_0074,ITEM_017
ORD_0075,"ITEM_015, ITEM_082"
ORD_0076,"ITEM_009, ITEM_003, ITEM_087, ITEM_011, ITEM_002, ITEM_019, ITEM_023"
ORD_0077,"ITEM_011, ITEM_045, ITEM_006, ITEM_064, ITEM_007, ITEM_077, ITEM_002, ITEM_019"
ORD_0078,"ITEM_008, ITEM_010, ITEM_014, ITEM_036, ITEM_005"
ORD_0079,"ITEM_009, ITEM_012, ITEM_007, ITEM_005, ITEM_002, ITEM_063, ITEM_017, ITEM_015"
ORD_0080,ITEM_012
ORD_0081,"ITEM_016, ITEM_015"
ORD_0082,"ITEM_008, ITEM_002"
ORD_0083,"ITEM_020, ITEM_003, ITEM_011, ITEM_007, ITEM_005, ITEM_004"
ORD_0084,"ITEM_020, ITEM_004"
ORD_0085,"ITEM_043, ITEM_009, ITEM_006, ITEM_018, ITEM_027, ITEM_017"
ORD_0086,"ITEM_009, ITEM_011"
ORD_0087,"ITEM_008, ITEM_016, ITEM_075, ITEM_004, ITEM_015"
ORD_0088,"ITEM_019, ITEM_016, ITEM_015"
ORD_0089,"ITEM_010, ITEM_003, ITEM_014, ITEM_007, ITEM_079, ITEM_062"
ORD_0090,"ITEM_019, ITEM_020, ITEM_004"
ORD_0091,"ITEM_012, ITEM_004"
ORD_0092,"ITEM_018, ITEM_047, ITEM_007, ITEM_001"
ORD_0093,"ITEM_019, ITEM_081, ITEM_007, ITEM_001"
ORD_0094,"ITEM_020, ITEM_016, ITEM_045, ITEM_012, ITEM_007, ITEM_005, ITEM_017, ITEM_015"
ORD_0095,"ITEM_020, ITEM_009, ITEM_014, ITEM_019, ITEM_040, ITEM_001"
ORD_0096,"ITEM_020, ITEM_013, ITEM_015, ITEM_006, ITEM_007, ITEM_004, ITEM_017"
ORD_0097,"ITEM_095, ITEM_029, ITEM_072, ITEM_014, ITEM_012, ITEM_007, ITEM_018, ITEM_019"
ORD_0098,"ITEM_013, ITEM_003, ITEM_006, ITEM_049, ITEM_015"
ORD_0099,"ITEM_014, ITEM_005, ITEM_016, ITEM_017"
ORD_0100,"ITEM_013, ITEM_010, ITEM_006, ITEM_014, ITEM_015"
ORD_0101,"ITEM_098, ITEM_094, ITEM_007, ITEM_019, ITEM_004, ITEM_017, ITEM_026"
ORD_0102,ITEM_037
ORD_0103,"ITEM_003, ITEM_012, ITEM_088, ITEM_005, ITEM_002, ITEM_004"
ORD_0104,"ITEM_043, ITEM_002"
ORD_0105,"ITEM_020, ITEM_009, ITEM_012, ITEM_007, ITEM_005, ITEM_071"
ORD_0106,"ITEM_020, ITEM_010, ITEM_014, ITEM_012, ITEM_067, ITEM_023"
ORD_0107,"ITEM_013, ITEM_056, ITEM_011, ITEM_012, ITEM_007, ITEM_002, ITEM_015"
ORD_0108,"ITEM_006, ITEM_007, ITEM_005, ITEM_011"
ORD_0109,"ITEM_010, ITEM_012, ITEM_094"
ORD_0110,"ITEM_005, ITEM_002"
ORD_0111,"ITEM_020, ITEM_008, ITEM_044, ITEM_011, ITEM_058, ITEM_005, ITEM_002, ITEM_015"
ORD_0112,"ITEM_013, ITEM_020, ITEM_006, ITEM_014, ITEM_007, ITEM_004"
ORD_0113,"ITEM_019, ITEM_013, ITEM_003"
ORD_0114,"ITEM_006, ITEM_002"
ORD_0115,"ITEM_004, ITEM_016"
ORD_0116,"ITEM_095, ITEM_009, ITEM_005, ITEM_018, ITEM_015"
ORD_0117,"ITEM_086, ITEM_020, ITEM_009, ITEM_014, ITEM_007"
