Method,RoutingMode,Seed,BestFitness
GA_plus_ACO,aco,1,447.0
GA_plus_ACO,aco,2,445.0004
GA_plus_ACO,aco,3,441.00030000000004
GA_plus_ACO,aco,4,458.0001
GA_plus_ACO,aco,5,457.00030000000004
GA_plus_ACO,aco,6,428.0
GA_plus_ACO,aco,7,478.0003
GA_plus_ACO,aco,8,459.0001
GA_plus_ACO,aco,9,466.0
GA_plus_ACO,aco,10,478.0
GA_plus_ACO,aco,11,470.0
GA_plus_ACO,aco,12,480.0
GA_plus_ACO,aco,13,457.0
GA_plus_ACO,aco,14,453.0001
GA_plus_ACO,aco,15,446.0
GA_plus_ACO,aco,16,453.0001
GA_plus_ACO,aco,17,445.0001
GA_plus_ACO,aco,18,441.0
GA_plus_ACO,aco,19,419.0
GA_plus_ACO,aco,20,448.0002
GA_plus_ACO,aco,21,436.0
GA_plus_ACO,aco,22,457.0002
GA_plus_ACO,aco,23,442.0001
GA_plus_ACO,aco,24,441.0
GA_plus_ACO,aco,25,477.0001
GA_plus_ACO,aco,26,429.0
GA_plus_ACO,aco,27,402.00030000000004
GA_plus_ACO,aco,28,465.0002
GA_plus_ACO,aco,29,477.0
GA_plus_ACO,aco,30,473.0
GA_plus_GreedyNN,greedy_nn,1,484.0
GA_plus_GreedyNN,greedy_nn,2,437.0
GA_plus_GreedyNN,greedy_nn,3,456.0
GA_plus_GreedyNN,greedy_nn,4,467.0
GA_plus_GreedyNN,greedy_nn,5,427.0
GA_plus_GreedyNN,greedy_nn,6,474.0
GA_plus_GreedyNN,greedy_nn,7,452.0
GA_plus_GreedyNN,greedy_nn,8,457.0
GA_plus_GreedyNN,greedy_nn,9,483.0
GA_plus_GreedyNN,greedy_nn,10,471.0
GA_plus_GreedyNN,greedy_nn,11,470.0
GA_plus_GreedyNN,greedy_nn,12,442.0
GA_plus_GreedyNN,greedy_nn,13,458.0
GA_plus_GreedyNN,greedy_nn,14,480.0
GA_plus_GreedyNN,greedy_nn,15,432.0
GA_plus_GreedyNN,greedy_nn,16,458.0
GA_plus_GreedyNN,greedy_nn,17,467.0
GA_plus_GreedyNN,greedy_nn,18,465.0
GA_plus_GreedyNN,greedy_nn,19,457.0
GA_plus_GreedyNN,greedy_nn,20,431.0
GA_plus_GreedyNN,greedy_nn,21,436.0
GA_plus_GreedyNN,greedy_nn,22,465.0
GA_plus_GreedyNN,greedy_nn,23,444.0
GA_plus_GreedyNN,greedy_nn,24,406.0
GA_plus_GreedyNN,greedy_nn,25,476.0
GA_plus_GreedyNN,greedy_nn,26,431.0
GA_plus_GreedyNN,greedy_nn,27,461.0
GA_plus_GreedyNN,greedy_nn,28,476.0
GA_plus_GreedyNN,greedy_nn,29,482.0
GA_plus_GreedyNN,greedy_nn,30,471.0
